"Nicer Image Names [Netzarbeiter Extension]","Schönere Bildnamen [Netzarbeiter Erweiterung]"
"Disable NicerImageNames Extension","Erweiterung deaktivieren"
"Image Name Map","Bildnamen Vorlage"
"Use %attribute to include an attribute value in the image name, e.g. %sku.","Benutze %attribut um ein Attribut einzubauen, z.B. %sku"
"Make Images Unique by appending a Number","Bildnamen einzigartig machen indem eine Zahl angehängt wird"
"Lowercase Image Names","Bildname in Kleinbuchstaben umwandeln"
"Generate ALT Attributes if Emtpy","Generiere ALT Text falls nicht vorhanden"
"Select ""Yes"" to configure.","Wähle ""Ja"" für weitere Konfiguration."
"Select ""No"" to configure.","Wähle ""Nein"" für weitere Konfiguration."
"Use the same Map for ALT as for the File Names","Benutze die gleiche Vorlage wie für Bildnamen"
"ALT Name Map","ALT Text Vorlage"

